110;;;;;;;;;;
№ квартиры;Фамилия квартиросъёмщика;Площадь, кв.м.;Тариф, руб./кв.м.;Сумма, руб.;Срок оплаты;Дата оплаты;Просрочка, дней;Пени за 1 день, руб.;Штраф, руб.;Итого, руб.
1;Абделазиз;70;121;8470;09.09.2022;01.09.2022;0;10;0;8470
2;Абдуллина;69,5;121;8409,5;09.09.2022;02.09.2022;0;10;0;8409,5
3;Акмалов;69;121;8349;09.09.2022;03.09.2022;0;10;0;8349
4;Бабкин;68,5;121;8288,5;09.09.2022;04.09.2022;0;10;0;8288,5
5;Бахромов;68;121;8228;09.09.2022;05.09.2022;0;10;0;8228
6;Борисов;67,5;121;8167,5;09.09.2022;06.09.2022;0;10;0;8167,5
7;Гафеев;67;121;8107;09.09.2022;07.09.2022;0;10;0;8107
8;Городилова;66,5;121;8046,5;09.09.2022;08.09.2022;0;10;0;8046,5
9;Девятов;66;121;7986;09.09.2022;09.09.2022;0;10;0;7986
10;Исламов;65,5;121;7925,5;09.09.2022;10.09.2022;1;10;10;7935,5
11;Карманов;65;121;7865;09.09.2022;11.09.2022;2;10;20;7885
12;Коканов;64,5;121;7804,5;09.09.2022;12.09.2022;3;10;30;7834,5
13;Мохамед;64;121;7744;09.09.2022;13.09.2022;4;10;40;7784
14;Надеждин;63,5;121;7683,5;09.09.2022;14.09.2022;5;10;50;7733,5
15;Нуретдинов;63;121;7623;09.09.2022;15.09.2022;6;10;60;7683
16;Павлова;62,5;121;7562,5;09.09.2022;16.09.2022;7;10;70;7632,5
17;Родионов;62;121;7502;09.09.2022;17.09.2022;8;10;80;7582
18;Рудой;61,5;121;7441,5;09.09.2022;18.09.2022;9;10;90;7531,5
19;Садыков;61;121;7381;09.09.2022;19.09.2022;10;10;100;7481
20;Семагин;60,5;121;7320,5;09.09.2022;20.09.2022;11;10;110;7430,5
21;Семенов;60;121;7260;09.09.2022;21.09.2022;12;10;120;7380
22;Таухутдинов;59,5;121;7199,5;09.09.2022;22.09.2022;13;10;130;7329,5
23;Фаляхутдинова;59;121;7139;09.09.2022;23.09.2022;14;10;140;7279
24;Филатов;58,5;121;7078,5;09.09.2022;24.09.2022;15;10;150;7228,5
25;Хабк;58;121;7018;09.09.2022;25.09.2022;16;10;160;7178
26;Хазипова;57,5;121;6957,5;09.09.2022;26.09.2022;17;10;170;7127,5
27;Хазов;57;121;6897;09.09.2022;27.09.2022;18;10;180;7077
28;Хакимов;56,5;121;6836,5;09.09.2022;28.09.2022;19;10;190;7026,5
29;Халилов;56;121;6776;09.09.2022;29.09.2022;20;10;200;6976
30;Хафизов;55,5;121;6715,5;09.09.2022;30.09.2022;21;10;210;6925,5
31;Хрунин;55;121;6655;09.09.2022;01.10.2022;22;10;220;6875
32;Чепурченко;54,5;121;6594,5;09.09.2022;02.10.2022;23;10;230;6824,5
33;Шабанов;54;60,5;3267;09.09.2022;03.10.2022;24;10;240;3507
34;Шаймарданова;53,5;60,5;3236,75;09.09.2022;04.10.2022;25;10;250;3486,75
35;Кузин;53;60,5;3206,5;09.09.2022;05.10.2022;26;10;260;3466,5
36;Куропаткин 1;52,5;60,5;3176,25;09.09.2022;06.10.2022;27;10;270;3446,25
;;;;;;;;;;
;Общая сумма, руб.;257698;;;;;;;;
;Средняя площадь, кв.м.;61,25;;;;;;;;
;Максимальный срок просрочки, дней;27;;;;;;;;
;Максимальная сумма, руб.;8470;;;;;;;;
