112;;;;;;;;;;
№ Квартиры;Фамилия квартиросъемщика;Площадь, кв.м.;Тариф, руб./кв.м.;Сумма, руб.;Срок оплаты;Дата оплаты;Просрочка, дней;Пени за 1 день, руб.;Штраф, руб.;Итого, руб.
1;Абделазиз;70;123,2;8624;09.09.2022;01.09.2022;0;10;0;8624
2;Абдуллина;69,5;123,2;8562,4;09.09.2022;02.09.2022;0;10;0;8562,4
3;Акмалов;69;123,2;8500,8;09.09.2022;03.09.2022;0;10;0;8500,8
4;Бабкин;68,5;123,2;8439,2;09.09.2022;04.09.2022;0;10;0;8439,2
5;Бахромов;68;123,2;8377,6;09.09.2022;05.09.2022;0;10;0;8377,6
6;Борисов;67,5;123,2;8316;09.09.2022;06.09.2022;0;10;0;8316
7;Гафеев;67;123,2;8254,4;09.09.2022;07.09.2022;0;10;0;8254,4
8;Городилова;66,5;123,2;8192,8;09.09.2022;08.09.2022;0;10;0;8192,8
9;Девятов;66;123,2;8131,2;09.09.2022;09.09.2022;0;10;0;8131,2
10;Исламов;65,5;123,2;8069,6;09.09.2022;10.09.2022;1;10;10;8079,6
11;Карманов;65;123,2;8008;09.09.2022;11.09.2022;2;10;20;8028
12;Коканов;64,5;123,2;7946,4;09.09.2022;12.09.2022;3;10;30;7976,4
13;Мохамед;64;123,2;7884,8;09.09.2022;13.09.2022;4;10;40;7924,8
14;Надеждин;63,5;123,2;7823,2;09.09.2022;14.09.2022;5;10;50;7873,2
15;Нуретдинов;63;123,2;7761,6;09.09.2022;15.09.2022;6;10;60;7821,6
16;Павлова;62,5;123,2;7700;09.09.2022;16.09.2022;7;10;70;7770
17;Родионов;62;123,2;7638,4;09.09.2022;17.09.2022;8;10;80;7718,4
18;Рудой;61,5;123,2;7576,8;09.09.2022;18.09.2022;9;10;90;7666,8
19;Садыков;61;123,2;7515,2;09.09.2022;19.09.2022;10;10;100;7615,2
20;Семагин;60,5;123,2;7453,6;09.09.2022;20.09.2022;11;10;110;7563,6
21;Семенов;60;123,2;7392;09.09.2022;21.09.2022;12;10;120;7512
22;Таухутдинов;59,5;123,2;7330,4;09.09.2022;22.09.2022;13;10;130;7460,4
23;Фаляхутдинова;59;123,2;7268,8;09.09.2022;23.09.2022;14;10;140;7408,8
24;Филатов;58,5;123,2;7207,2;09.09.2022;24.09.2022;15;10;150;7357,2
25;Хабк;58;123,2;7145,6;09.09.2022;25.09.2022;16;10;160;7305,6
26;Хазипова;57,5;123,2;7084;09.09.2022;26.09.2022;17;10;170;7254
27;Хазов;57;123,2;7022,4;09.09.2022;27.09.2022;18;10;180;7202,4
28;Хакимов;56,5;123,2;6960,8;09.09.2022;28.09.2022;19;10;190;7150,8
29;Халилов;56;123,2;6899,2;09.09.2022;29.09.2022;20;10;200;7099,2
30;Хафизов;55,5;123,2;6837,6;09.09.2022;30.09.2022;21;10;210;7047,6
31;Хрунин;55;123,2;6776;09.09.2022;01.10.2022;22;10;220;6996
32;Чепурченко;54,5;123,2;6714,4;09.09.2022;02.10.2022;23;10;230;6944,4
33;Шабанов;54;61,6;3326,4;09.09.2022;03.10.2022;24;10;240;3566,4
34;Шаймарданова;53,5;61,6;3295,6;09.09.2022;04.10.2022;25;10;250;3545,6
35;Куропаткин 1;53;61,6;3264,8;09.09.2022;05.10.2022;26;10;260;3524,8
36;Куропаткин 2;52,5;61,6;3234;09.09.2022;06.10.2022;27;10;270;3504
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;"общая сумма графы ""Итого""";262315;;;;;;;;
;средняя площадь;61,25;;;;;;;;
;максимальный срок просрочки;27;;;;;;;;
;максимальная сумма к оплате;8624;;;;;;;;
