6;;;;;;;;;;
№ квартиры;Фамилия квартиросъемщика;Площадь, кв.м.;Тариф, руб./кв.м.;Сумма, руб.;Срок оплаты;Дата оплаты;Просрочка;???;Штраф, руб.;Итого, руб.
1;Адельвахаб;70;6,6;462;09.09.2022;01.09.2022;0;10;0;462
2;Алтынов;69,5;6,6;458,7;09.09.2022;02.09.2022;0;10;0;458,7
3;Альсайед;69;6,6;455,4;09.09.2022;03.09.2022;0;10;0;455,4
4;Асадуллин;68,5;6,6;452,1;09.09.2022;04.09.2022;0;10;0;452,1
5;Афанасьев;68;6,6;448,8;09.09.2022;05.09.2022;0;10;0;448,8
6;Бикмухаметов;67,5;6,6;445,5;09.09.2022;06.09.2022;0;10;0;445,5
7;Боровик;67;6,6;442,2;09.09.2022;07.09.2022;0;10;0;442,2
8;Галимов;66,5;6,6;438,9;09.09.2022;08.09.2022;0;10;0;438,9
9;Гиниатулин;66;6,6;435,6;09.09.2022;09.09.2022;0;10;0;435,6
10;Гюрбюз;65,5;6,6;432,3;09.09.2022;10.09.2022;1;10;10;442,3
11;Елеиссави;65;6,6;429;09.09.2022;11.09.2022;2;10;20;449
12;Ирканаев;64,5;6,6;425,7;09.09.2022;12.09.2022;3;10;30;455,7
13;Исмаел;64;6,6;422,4;09.09.2022;13.09.2022;4;10;40;462,4
14;Калоша;63,5;6,6;419,1;09.09.2022;14.09.2022;5;10;50;469,1
15;Макаров;63;6,6;415,8;09.09.2022;15.09.2022;6;10;60;475,8
16;Мухаметгалиев;62,5;6,6;412,5;09.09.2022;16.09.2022;7;10;70;482,5
17;Низамова;62;6,6;409,2;09.09.2022;17.09.2022;8;10;80;489,2
18;Озотюрк;61,5;6,6;405,9;09.09.2022;18.09.2022;9;10;90;495,9
19;Санутков;61;6,6;402,6;09.09.2022;19.09.2022;10;10;100;502,6
20;Сапожников;60,5;6,6;399,3;09.09.2022;20.09.2022;11;10;110;509,3
21;Сафиуллина;60;6,6;396;09.09.2022;21.09.2022;12;10;120;516
22;Стрижнев;59,5;6,6;392,7;09.09.2022;22.09.2022;13;10;130;522,7
23;Сулу;59;6,6;389,4;09.09.2022;23.09.2022;14;10;140;529,4
24;Угурлуэл;58,5;6,6;386,1;09.09.2022;24.09.2022;15;10;150;536,1
25;Фазлиахметов;58;6,6;382,8;09.09.2022;25.09.2022;16;10;160;542,8
26;Ханов;57,5;6,6;379,5;09.09.2022;26.09.2022;17;10;170;549,5
27;Хасаншина;57;6,6;376,2;09.09.2022;27.09.2022;18;10;180;556,2
28;Хассан;56,5;6,6;372,9;09.09.2022;28.09.2022;19;10;190;562,9
29;Шаабан;56;6,6;369,6;09.09.2022;29.09.2022;20;10;200;569,6
30;Шалаев;55,5;6,6;366,3;09.09.2022;30.09.2022;21;10;210;576,3
31;Шарафан;55;6,6;363;09.09.2022;01.10.2022;22;10;220;583
32;Шафигуллина;54,5;6,6;359,7;09.09.2022;02.10.2022;23;10;230;589,7
33;Ершов;54;3,3;178,2;09.09.2022;03.10.2022;24;10;240;418,2
34;Куропаткин 1;53,5;3,3;176,55;09.09.2022;04.10.2022;25;10;250;426,55
35;Куропаткин 2;53;3,3;174,9;09.09.2022;05.10.2022;26;10;260;434,9
36;Куропаткин 3;52,5;3,3;346,5;09.09.2022;06.10.2022;27;10;270;616,5
;;;;;;;;;;
;Общая сумма, руб.;17803;;;;;;;;
;Средняя площадь, кв.м.;61,25;;;;;;;;
;Максимальный срок просрочки;27;;;;;;;;
;Максимальная сумма просрочки, руб.;270;;;;;;;;
