66;;;;;;;;;;
№ квартиры;Фамилия квартиросъемщика;Площадь, кв.м.;Тариф, руб.;Сумма, руб.;Срок оплаты;Дата оплаты;Просрочка, дней;Пени за 1 день, руб.;Штраф, руб.;Итого, руб.
1;Алишеров;70;72,6;5082;09.09.2022;01.09.2022;0;10;0;5082
2;Аллаярова;69,5;72,6;5045,7;09.09.2022;02.09.2022;0;10;0;5045,7
3;Антипов;69;72,6;5009,4;09.09.2022;03.09.2022;0;10;0;5009,4
4;Арсланов;68,5;72,6;4973,1;09.09.2022;04.09.2022;0;10;0;4973,1
5;Гусаков;68;72,6;4936,8;09.09.2022;05.09.2022;0;10;0;4936,8
6;Дедюхин;67,5;72,6;4900,5;09.09.2022;06.09.2022;0;10;0;4900,5
7;Иванова;67;72,6;4864,2;09.09.2022;07.09.2022;0;10;0;4864,2
8;Камалов;66,5;72,6;4827,9;09.09.2022;08.09.2022;0;10;0;4827,9
9;Любенко;66;72,6;4791,6;09.09.2022;09.09.2022;0;10;0;4791,6
10;Максутов;65,5;72,6;4755,3;09.09.2022;10.09.2022;1;10;10;4765,3
11;Никифорович;65;72,6;4719;09.09.2022;11.09.2022;2;10;20;4739
12;Овчинников;64,5;72,6;4682,7;09.09.2022;12.09.2022;3;10;30;4712,7
13;Романова;64;72,6;4646,4;09.09.2022;13.09.2022;4;10;40;4686,4
14;Симоненко;63,5;72,6;4610,1;09.09.2022;14.09.2022;5;10;50;4660,1
15;Стариков;63;72,6;4573,8;09.09.2022;15.09.2022;6;10;60;4633,8
16;Сулейманов;62,5;72,6;4537,5;09.09.2022;16.09.2022;7;10;70;4607,5
17;Тураев;62;72,6;4501,2;09.09.2022;17.09.2022;8;10;80;4581,2
18;Хакимджанов;61,5;72,6;4464,9;09.09.2022;18.09.2022;9;10;90;4554,9
19;Хасанов;61;72,6;4428,6;09.09.2022;19.09.2022;10;10;100;4528,6
20;Чарыев;60,5;72,6;4392,3;09.09.2022;20.09.2022;11;10;110;4502,3
21;Юсупова;60;72,6;4356;09.09.2022;21.09.2022;12;10;120;4476
22;Куропаткин 1;59,5;72,6;4319,7;09.09.2022;22.09.2022;13;10;130;4449,7
23;Куропаткин 2;59;72,6;4283,4;09.09.2022;23.09.2022;14;10;140;4423,4
24;Куропаткин 3;58,5;72,6;4247,1;09.09.2022;24.09.2022;15;10;150;4397,1
25;Куропаткин 4;58;72,6;4210,8;09.09.2022;25.09.2022;16;10;160;4370,8
26;Куропаткин 5;57,5;72,6;4174,5;09.09.2022;26.09.2022;17;10;170;4344,5
27;Куропаткин 6;57;72,6;4138,2;09.09.2022;27.09.2022;18;10;180;4318,2
28;Куропаткин 7;56,5;72,6;4101,9;09.09.2022;28.09.2022;19;10;190;4291,9
29;Куропаткин 8;56;72,6;4065,6;09.09.2022;29.09.2022;20;10;200;4265,6
30;Куропаткин 9;55,5;72,6;4029,3;09.09.2022;30.09.2022;21;10;210;4239,3
31;Куропаткин 10;55;72,6;3993;09.09.2022;01.10.2022;22;10;220;4213
32;Куропаткин 11;54,5;72,6;3956,7;09.09.2022;02.10.2022;23;10;230;4186,7
33;Куропаткин 12;54;36,3;1960,2;09.09.2022;03.10.2022;24;10;240;2200,2
34;Куропаткин 13;53,5;36,3;1942,05;09.09.2022;04.10.2022;25;10;250;2192,05
35;Куропаткин 14;53;36,3;1923,9;09.09.2022;05.10.2022;26;10;260;2183,9
36;Куропаткин 15;52,5;36,3;1905,75;09.09.2022;06.10.2022;27;10;270;2175,75
;;;;;;;;;;
;Общая сумма, руб.;156131;;;;;;;;
;Средняя площадь, кв.м.;61,25;;;;;;;;
;Максимальный срок просрочки, дней;27;;;;;;;;
;Максимальная сумма, руб.;270;;;;;;;;
