67;;;;;;;;;;
№ квартиры;Фамилия квартиросъемщика;Площадь кв.м;Тариф руб./кв.м;Сумма руб.;Срок оплаты;Дата оплаты;Просрочка дней;Пени за 1 день;Штраф;Итого
1;Алишеров ;70;73,7;5159;09.09.2022;01.09.2022;0;10;0;5159
2;Аллаярова ;69,5;73,7;5122,15;09.09.2022;02.09.2022;0;10;0;5122,15
3;Антипов ;69;73,7;5085,3;09.09.2022;03.09.2022;0;10;0;5085,3
4;Арсланов ;68,5;73,7;5048,45;09.09.2022;04.09.2022;0;10;0;5048,45
5;Гусаков ;68;73,7;5011,6;09.09.2022;05.09.2022;0;10;0;5011,6
6;Дедюхин ;67,5;73,7;4974,75;09.09.2022;06.09.2022;0;10;0;4974,75
7;Иванова;67;73,7;4937,9;09.09.2022;07.09.2022;0;10;0;4937,9
8;Камалов;66,5;73,7;4901,05;09.09.2022;08.09.2022;0;10;0;4901,05
9;Любенко ;66;73,7;4864,2;09.09.2022;09.09.2022;0;10;0;4864,2
10;Максутов;65,5;73,7;4827,35;09.09.2022;10.09.2022;1;10;10;4837,35
11;Никифорович;65;73,7;4790,5;09.09.2022;11.09.2022;2;10;20;4810,5
12;Овчинников;64,5;73,7;4753,65;09.09.2022;12.09.2022;3;10;30;4783,65
13;Романова;64;73,7;4716,8;09.09.2022;13.09.2022;4;10;40;4756,8
14;Симоненко;63,5;73,7;4679,95;09.09.2022;14.09.2022;5;10;50;4729,95
15;Стариков;63;73,7;4643,1;09.09.2022;15.09.2022;6;10;60;4703,1
16;Сулейманов ;62,5;73,7;4606,25;09.09.2022;16.09.2022;7;10;70;4676,25
17;Тураев ;62;73,7;4569,4;09.09.2022;17.09.2022;8;10;80;4649,4
18;Хакимджанов;61,5;73,7;4532,55;09.09.2022;18.09.2022;9;10;90;4622,55
19;Хасанов ;61;73,7;4495,7;09.09.2022;19.09.2022;10;10;100;4595,7
20;Чарыев;60,5;73,7;4458,85;09.09.2022;20.09.2022;11;10;110;4568,85
21;Юсупова;60;73,7;4422;09.09.2022;21.09.2022;12;10;120;4542
22;Куропаткин 1;59,5;73,7;4385,15;09.09.2022;22.09.2022;13;10;130;4515,15
23;Куропаткин 2;59;73,7;4348,3;09.09.2022;23.09.2022;14;10;140;4488,3
24;Куропаткин 3;58,5;73,7;4311,45;09.09.2022;24.09.2022;15;10;150;4461,45
25;Куропаткин 4;58;73,7;4274,6;09.09.2022;25.09.2022;16;10;160;4434,6
26;Куропаткин 5;57,5;73,7;4237,75;09.09.2022;26.09.2022;17;10;170;4407,75
27;Куропаткин 6;57;73,7;4200,9;09.09.2022;27.09.2022;18;10;180;4380,9
28;Куропаткин 7;56,5;73,7;4164,05;09.09.2022;28.09.2022;19;10;190;4354,05
29;Куропаткин 8;56;73,7;4127,2;09.09.2022;29.09.2022;20;10;200;4327,2
30;Куропаткин 9;55,5;73,7;4090,35;09.09.2022;30.09.2022;21;10;210;4300,35
31;Куропаткин 10;55;73,7;4053,5;09.09.2022;01.10.2022;22;10;220;4273,5
32;Куропаткин 11;54,5;73,7;4016,65;09.09.2022;02.10.2022;23;10;230;4246,65
33;Куропаткин 12;54;36,85;1989,9;09.09.2022;03.10.2022;24;10;240;2229,9
34;Куропаткин 13;53,5;36,85;1971,475;09.09.2022;04.10.2022;25;10;250;2221,475
35;Куропаткин 14;53;36,85;1953,05;09.09.2022;05.10.2022;26;10;260;2213,05
36;Куропаткин 15;52,5;36,85;1934,625;09.09.2022;06.10.2022;27;10;270;2204,625
;;;;;;;;;;
;общая сумма;158440;;;;;;;;
;средняя площадь;61,25;;;;;;;;
;макс. срок просрочки;27;;;;;;;;
;макс. сумма к оплате;5159;;;;;;;;
